key	nonce	ru
gov		Политический режим
speech		Общение
for		Внеш. политика
legal		Безопасность
o		Я абсолютно не согласен со всеми этими мнениями
a		Меня не волнует этот вопрос
prev		Предыдущий вопрос
nota		Другое
idc		Апатия
cent		Радикальный Центризм
auth		Автократия
olig		Олигархия
strato		Страты
dir		Прямая Демократия
dir*		Усоверш-я Демократия
rep		Предст-я Демократия
cons		Демократия Консенсуса
min		Минимализм
cont		Контроль
moder		Умеренность
just		Справедливость
obs		Обсценизм
free		Свобода
retrib		Карательное Прав-е
det		Сдерживание
warn		Штрафы
rehab		Реабилитация
decn		Децентрализация
iso		Изоляционизм
sov		Суверенитет
pop		Вики-популизм
pop*		Экспансионизм
friend		Викидружба
friend*		Викисоюз
quizname		WikiCharts Quiz
nota	desc	Если вы получили «Другое», значит, ваше видение определённых вопросов не согласуется с основными предположениями, которые есть в этом тесте, упрощающим вопросы для подавляющего большинства людей. Возможно, у вас уже есть для себя конкретный ярлык ваших взглядов.
idc	desc	Апатия — это отсутствие интереса к какому-либо вопросу. Он может не затрагивать вас, или вы просто можете не считать, что какой-либо один вариант лучше других. Некоторые апатичные люди просто могут больше заботиться о нескольких других вопросах и быть апатичными в отношении других.
cent	desc	«Радикальный центризм» — это отсутствие сильного предпочтения между разными взглядами. Он «радикальный», потому что сочетает в себе элементы нескольких чрезвычайно разных идеологий. Это может означать, что вы придерживаетесь взглядов, которые не отражены в этом тесте, или что вы просто выбирали случайные ответы.
auth	desc	Вся полнота власти принадлежит одному человеку — несменяемому бюрократу, который лично управляет википроектом. Любые решения принимается единолично без учёта мнений остальных пользователей.
olig	desc	Вся полнота власти принадлежит узкой группе лиц — администраторскому составу, управляющему википроектом. Решения принимается, как правило, коллективно всеми администраторами, но, тем не менее, без учёта мнений обычных пользователей.
strato	desc	Власть принадлежит только самым влиятельным и активным участникам, обладающим статусами. Мнение обычных пользователей может учитываться, но не так сильно, как мнение привилегированных участников, которое имеет больший вес, например, при голосовании.
